
# ---- AI compute_power constants (file 0x254E9-0x2589B) ----
# ---- AI weapon selection ----
# ---- C runtime (seg 0015/0016) ----
# ---- Command-line argument parsing ----
# ---- Data segment variables (DS: prefix) ----
# ---- Dialog system (seg 3F19 in emu) ----
# ---- Dialog/widget system (seg 3F89 = file 0x45B19+) ----
# ---- Explosion terrain erase/scorch ----
# ---- Falling tank / impact damage system ----
# ---- Fastgraph VGA primitives (seg 3DDE) ----
# ---- Fastgraph drawing library (seg 3CE0) ----
# ---- Fastgraph vtable init (populates DS:EEF4-EF18 from gfx mode entry) ----
# ---- Font module (seg 4589) ----
# ---- Guidance System constants ----
# ---- Input System ----
# ---- Keyboard ISR (installed as INT 09h) ----
# ---- Known functions (file offsets) ----
# ---- Market system (SCORCH.MKT) ----
# ---- Menu module (34ED) ----
0x43080,show_no_kibitzing
0x2D86B,napalm_alloc_slot
0x2D8DA,napalm_insert_particle
0x2D99E,napalm_flame_flicker
0x2DA00,napalm_main_handler
0x2DFB7,napalm_get_list_head
0x2DFCC,napalm_check_direction
0x2F579,riot_blast_handler
0x2F76D,plasma_blast_handler
0x2F830,play_start
0x2FAE0,pcx_display
0x2FB6B,play_loop_switch_table
0x2FBCA,compute_hud_layout_basic
0x2FC84,draw_hud_basic
0x2FEBE,compute_hud_layout_full
0x301B2,draw_hud_full
0x30560,play_turn_handler
0x3063A,play_clear_fire_callbacks
0x30652,play_fire_talk_guard
0x307E8,update_hud_row1
0x30910,hud_cycle_weapon_icon
0x30DA5,player_round_init
0x30E80,player_init_substruct
0x30F0E,init_deploy_threshold
0x3121E,check_shield_type_active
0x31249,check_heavy_shield_energy
0x318D8,hud_widget1_fuel
0x31B48,damage_tank
0x31D7F,compute_item_percentage
0x31FB0,player_start
0x32166,iter_all_players
0x3362C,ranges_init
0x33690,ranges_start
0x337C4,score_sort_players
0x33F67,computer_person_toggle_cb
0x33FC3,end_of_round_scoring
0x340AF,find_winner_and_display
0x3415A,score_tab_dialog_build
0x352B7,per_player_dialog_callback
0x357B0,reassign_players
0x35D41,sound_terrain_gen_ping
0x36271,targeting_pixel_cb
0x36321,targeting_line
0x365D3,roller_impact
0x3684B,roller_terrain_follow
0x37381,end_of_round_scoring
0x375E3,score_on_death
0x37688,score_on_damage
0x377D9,add_score
0x37955,compute_sell_refund
0x37CA0,sell_dialog_build
0x38070,shark_start
0x38211,shark_elastic_wall_adjust
0x38314,shark_check_shield_flags
0x38344,shield_absorb_damage
0x38421,shield_break_path
0x38649,shield_draw_pixel_callback
0x38765,shield_activate_wrapper
0x38780,shields_start
0x3899C,shield_replace_pixel_callback
0x389DA,update_shield_color
0x39482,bar_column
0x394F2,hud_draw_power_bar_col
0x39544,hud_draw_item_bar_col
0x3959F,hud_draw_angle_bar_col
0x39628,shield_plot_point
0x3968D,shield_expand_y
0x396FA,update_terrain_type_cache
0x3971F,terrain_gen_main
0x39956,terrain_type0_palette
0x39969,terrain_type1_palette
0x3999A,fill_height_array_palIdx
0x399D7,terrain_type2_palette
0x39AEF,terrain_type3_mtn_palette
0x39B03,terrain_type3_loop1_blue
0x39B1B,terrain_type3_loop2_gray
0x39B40,terrain_type4_vshape
0x39C31,terrain_type5_sunset_castle
0x39C45,sunset_palette_setup
0x39CCE,sunset_loop2
0x39D57,sunset_loop3
0x39DE0,sunset_flush_dacs
0x3A046,set_sky_palette_entry
0x3A0A9,setup_sky_ceiling_palette
0x3AB39,setTerrainPixel
0x3AF1F,shield_hit_animation_func
0x3AF33,sound_shield_hit_random
0x3B8D0,menu_start
0x3BA1C,btn_start_handler
0x3BA31,btn_save_changes
0x3BA7F,submenu_dialog_show
0x3CFBC,btn_save_changes_alt
0x3D140,main_menu
0x3D56A,main_menu_draw_3d_box_call
0x3D593,main_menu_draw_flat_box_call
0x3D59B,main_menu_right_panel
0x3D6F2,main_menu_draw_embossed_text_call
0x3D978,init_wall_type_names
0x3DA35,init_scale_names
0x3DB30,hud_widget4_item
0x3DC94,hud_widget5_shield
0x3DD59,hud_widget6_item2
0x3DD95,hud_widget7_conditional
0x3DE5E,hud_widget3_parachute
0x3DE9B,hud_widget2_battery
0x3E9B5,shield_equip_dialog_handler
0x3F310,dialog_create_button
0x3F3CA,system_menu_btn_callback
0x3F455,system_menu_dialog_callback
0x3F4F8,system_menu_display
0x3F871,quit_game_handler
0x3F89C,new_game_handler
0x3F8D6,mass_kill_handler
0x3F93B,confirm_dialog
0x3FAA5,clear_screen_handler
0x3FC11,shield_erase_callback
0x3FC46,shield_draw_terrain_callback
0x3FFD2,shield_and_damage
0x40046,explosion_erase_column
0x4043B,shield_erase_shape
0x41F90,timer_isr
0x41FF3,timer_isr_install
0x439CB,fg_hline_clipped
0x43A66,fg_hline_pixel_loop
0x43D3A,ai_buy_item_scroll
0x44130,fg_setpixel_modex
0x4415D,fg_getpixel_modex
0x444BB,draw_3d_box
0x44630,draw_flat_box
0x4500D,fg_detect_vga
0x45413,fg_init_vtable
0x4569F,store_sky_base_index
0x45DDC,dialog_draw
0x45FED,dialog_run
0x4609F,dialog_event_loop
0x460C3,dialog_poll_input
0x46266,dialog_key_dispatch
0x463C2,dialog_key_special
0x47D53,text_input_handler
0x483F2,add_widget_type9
0x4862B,dialog_create_button
0x48A96,dialog_draw_item
0x48AC9,dialog_add_item
0x49E59,button_activate
0x4B827,fg_intkey
0x4B854,get_shift_state
0x4B879,widget_array_init
0x4BA83,dialog_process_widgets
0x4BFBD,mode_detect_probe
0x4C0B5,fg_setrgb
0x4C117,fg_sound_dispatch
0x4C143,fg_click
0x4C177,fg_beep
0x4C1D8,fg_tone
0x4C221,fg_sound
0x4C278,fg_nosound
0x4C290,font_start
0x4C304,text_display
0x4C8A7,text_measure
0x4C914,text_display
0x4C98D,draw_embossed_text
0x4CEFD,draw_embossed_text
0x4CFB3,key_scancode_to_char
0x6A00,code_start
0x6EDC,_tan
0x6F00,_fabs
0x79C8,_sqrt
0x7C04,_sin
0x7DD1,_cos
0x7E21,_atan2
0x7EDF,_ftol
DS:0x00EC,SHOP_ANIM_COUNTER
DS:0x0128,talk_files_loaded
DS:0x026A,SHIELD_DISPATCH_TABLE
DS:0x02E2,ai_vtable,data/farptr
DS:0x0408,viscosity_max_f
DS:0x040C,viscosity_div_f
DS:0x0541,STR_PLAY_ORDER_KEY
DS:0x0A03,STR_PLAY_ORDER_FMT
DS:0x11F6,weapon_struct_base,data/table:52
DS:0x1BB6,WEAPON_COUNT
DS:0x1C68,fall_frame_counter
DS:0x1C78,fire_pending_flag
DS:0x1C7E,MAG_DAMPING_APPLIED_FLAG
DS:0x1C84,NOFLOAT_FLAG
DS:0x1C86,mips_count_lo
DS:0x1C88,mips_count_hi
DS:0x1D34,BOUNCE_RUBBER
DS:0x1D3C,BOUNCE_PADDED
DS:0x1D44,BOUNCE_SPRING
DS:0x1D54,MAG_DAMP_COEFF
DS:0x1D58,MAG_ABSORB_THRESHOLD
DS:0x1F62,SHOP_ACCENT_TABLE,data/table:6
DS:0x206C,title_scorched_earth_far_ptr
DS:0x2070,title_subtitle_far_ptr
DS:0x20C8,menu_string_table,data/farptr
DS:0x2100,scale_name_ptrs_static
DS:0x212C,menu_btn_string_table
DS:0x2158,submenu_label_ptrs,data/farptr
DS:0x220C,hud_row1_label_ptr_off
DS:0x220E,hud_row1_label_ptr_seg
DS:0x2210,hud_angle_label_ptr_off
DS:0x2212,hud_angle_label_ptr_seg
DS:0x22F8,PTR_CASH_LEFT,data/farptr
DS:0x2320,TAB_WEAPONS_ITEM_TABLE,data/farptr
DS:0x235C,PTR_EARNED_INTEREST,data/farptr
DS:0x2360,TAB_MISC_ITEM_TABLE,data/farptr
DS:0x269B,str_Scorched_Earth
DS:0x26AA,str_The_Mother_of_All_Games
DS:0x2762,STR_RANKINGS
DS:0x27CC,STR_NORMAL
DS:0x28AB,STR_SOUND_LABEL
DS:0x28C3,STR_GRAPHICS_MODE_LABEL
DS:0x291F,STR_INTEREST_RATE_LABEL
DS:0x296A,STR_BUMPINESS_LABEL
DS:0x299A,STR_AIR_VISCOSITY_LABEL
DS:0x2A07,STR_TALKING_TANKS_LABEL
DS:0x2A4B,STR_ARMS_LEVEL_LABEL
DS:0x2A9F,STR_FINAL_SCORING
DS:0x2ACE,STR_PLAYER
DS:0x2AD5,STR_TILDE_COMPUTER
DS:0x2ADF,STR_TILDE_PERSON
DS:0x2AEC,STR_TILDE_NAME
DS:0x2AF2,STR_TILDE_TYPE
DS:0x2B22,STR_SYSTEM_MENU
DS:0x2B2E,STR_CLEAR_SCREEN
DS:0x2B3C,STR_MASS_KILL
DS:0x2B47,STR_QUIT_GAME
DS:0x2B63,STR_REASSIGN_PLAYERS
DS:0x2B75,STR_REASSIGN_TEAMS
DS:0x2B85,STR_SAVE_GAME
DS:0x2B90,STR_RESTORE_GAME
DS:0x2B9E,STR_NEW_GAME
DS:0x2BA8,STR_RETREAT_CONFIRM
DS:0x2BC0,STR_YES
DS:0x2BC5,STR_NO
DS:0x2BC9,STR_QUIT_CONFIRM
DS:0x2BDE,STR_NEWGAME_CONFIRM
DS:0x2BDE,STR_NEW_GAME_CONFIRM
DS:0x2C06,STR_MASSKILL_CONFIRM
DS:0x2C06,STR_MASS_KILL_CONFIRM
DS:0x2C1A,FMT_ROUNDS_REMAIN,data/str
DS:0x2C1A,STR_ROUNDS_REMAIN
DS:0x2C2B,STR_1_ROUND_REMAINS,data/str
DS:0x2C2B,STR_ONE_ROUND_REMAINS
DS:0x2C3B,STR_SCORE_TAB,data/str
DS:0x2C41,STR_WEAPONS_TAB,data/str
DS:0x2C49,STR_MISC_TAB,data/str
DS:0x2C57,STR_DONE_BTN,data/str
DS:0x2CE6,STR_NO_WINNER
DS:0x2DDD,STR_CASH_LEFT
DS:0x2E2A,STR_NO_KIBITZING
DS:0x2E39,STR_UPDATE,data/str
DS:0x2E39,STR_UPDATE_BTN,data/str
DS:0x2E41,STR_UPDATE_NODECO,data/str
DS:0x2E5B,STR_PARACHUTES,data/str
DS:0x2E67,STR_TRIGGERS,data/str
DS:0x2E71,STR_GUIDANCE,data/str
DS:0x2E7B,STR_DESCRIPTION,data/str
DS:0x2E87,STR_AMOUNT_IN_STOCK,data/str
DS:0x2EAA,STR_OFFER,data/str
DS:0x2EB0,STR_SELL_EQUIPMENT,data/str
DS:0x2EBF,STR_ACCEPT_BTN,data/str
DS:0x2EC7,STR_REJECT_BTN,data/str
DS:0x2EDF,STR_EARNED_INTEREST
DS:0x2EEF,STR_INVENTORY,data/str
DS:0x2EEF,STR_INVENTORY_BTN,data/str
DS:0x2EFE,STR_SHIELDS_HDR,data/str
DS:0x3002,STR_ROUNDS_FOUGHT_FMT
DS:0x31E5,FMT_OF_N
DS:0x3200,NEG_ONE_f64
DS:0x3208,AI_WIND_DIVISOR_f32
DS:0x320C,DEG_TO_RAD_f64
DS:0x3214,AI_POWER_TWO_f32
DS:0x3218,AI_POWER_SCALE_f32
DS:0x321C,GUIDANCE_MIN_DIST_SQ
DS:0x3224,GUIDANCE_CORRECTION_K
DS:0x322E,PI_f64
DS:0x3236,TWO_PI_f64
DS:0x323E,FOUR_f64
DS:0x3242,HALF_f64
DS:0x3246,TWO_f64
DS:0x3826,icon_bitmap_base,data/table:125
DS:0x500A,dialog_initial_focus
DS:0x500E,FMT_PLAYER_TITLE
DS:0x502E,KEYBOARD_BIOS_FLAG
DS:0x5030,INPUT_MODE
DS:0x5032,mouse_scancode_buf_head
DS:0x5034,mouse_scancode_buf_tail
DS:0x505A,FMT_WIND_NEG
DS:0x5061,FMT_WIND_POS
DS:0x5068,FMT_WIND_ZERO
DS:0x50CA,BOUNCE_RADIUS_TABLE
DS:0x50D0,BOUNCE_SPEED_DIVISOR
DS:0x50D4,NUM_PLAYERS
DS:0x50D8,is_castle_terrain
DS:0x50DA,EXPLOSION_SCALE_FLOAT
DS:0x50E4,MAX_POWER
DS:0x50EA,SCORING_MODE_FLAG
DS:0x50EE,FLIGHT_SOUNDS
DS:0x50F0,FLIGHT_SOUND_STATE
DS:0x50F2,MAYHEM_FLAG
DS:0x50F6,dialog_exit_flag
DS:0x50FA,CHANGING_WIND
DS:0x50FE,USELESS_ITEMS
DS:0x510E,WRAP_ENABLED
DS:0x5110,TERRAIN_TYPE
DS:0x5112,EXPLOSION_SCALE_INDEX
DS:0x5114,DAMAGE_TANKS_ON_IMPACT
DS:0x5116,FALLING_DELAY
DS:0x5118,TALKING_TANKS
DS:0x511A,TALK_PROBABILITY
DS:0x511C,TALK_DELAY
DS:0x512A,GRAVITY_CONFIG_f64
DS:0x513A,TUNNELLING
DS:0x513C,HOSTILE_ENVIRONMENT
DS:0x5140,FIRE_DELAY
DS:0x5142,STATUS_BAR
DS:0x5148,TEAMS_ENABLED
DS:0x514A,FREE_MARKET
DS:0x514E,BOMB_INVISIBLE_FLAG
DS:0x5150,current_player_ai_type_or_cond
DS:0x5154,ELASTIC
DS:0x515A,WIND_SPEED
DS:0x515C,MAX_WIND
DS:0x515C,max_wind
DS:0x5160,SHOP_HOTSEAT_FLAG
DS:0x5162,FALLING_TANKS
DS:0x5164,FALL_DAMAGE_PER_PIXEL
DS:0x516E,spoiler_noise_rand100a
DS:0x5170,spoiler_noise_rand100b
DS:0x5172,FLATLAND
DS:0x5178,viscosity_factor
DS:0x5180,wind_int_tmp
DS:0x5182,current_player_far_ptr_off
DS:0x5184,current_player_far_ptr_seg
DS:0x5186,HEAT_SEEK_THRESHOLD
DS:0x5188,PLAY_MODE
DS:0x518E,HUD_Y
DS:0x5190,INTEREST_RATE
DS:0x519A,stack_limit
DS:0x519C,PLAY_ORDER
DS:0x519E,SOUND_ENABLED_FLAG
DS:0x51A2,BOMB_ICON
DS:0x51A4,PLAY_ORDER_LAST_STARTER
DS:0x51AA,STR_ASGARD,data/str
DS:0x51B1,STR_FRONDHEIM,data/str
DS:0x51BB,STR_RAGNAROK,data/str
DS:0x51C4,STR_SCORCH_CFG,data/str
DS:0x51FD,STR_VERSION_150,data/str
DS:0x5202,STR_MAYHEM,data/str
DS:0x5209,STR_NOFLOAT,data/str
DS:0x5212,STR_PRESS_ANY_KEY
DS:0x5250,SCALE_SMALL_NORMAL
DS:0x5254,SCALE_SMALL_MEDIUM
DS:0x5258,SCALE_LARGE_MEDIUM
DS:0x525C,SCALE_LARGE_LARGE
DS:0x5260,MKT_ALPHA
DS:0x5268,MKT_INIT
DS:0x5270,mkt_filename
DS:0x5298,MKT_SIGNAL_DIV
DS:0x529E,sub_radius_table
DS:0x52A2,sub_count_table
DS:0x5682,NAPALM_HOT_DAMAGE_RADIUS
DS:0x5686,NAPALM_HOT_MAX_DAMAGE
DS:0x568A,NAPALM_REG_DAMAGE_RADIUS
DS:0x568E,NAPALM_REG_MAX_DAMAGE
DS:0x575C,pcx_filename
DS:0x5778,STR_POWER_VALUE_SAMPLE
DS:0x577E,STR_ANGLE_VALUE_SAMPLE
DS:0x5783,STR_WEAPON_NAME_SAMPLE
DS:0x57B2,FMT_LABEL_COL
DS:0x57B6,FMT_POWER_VALUE
DS:0x57BA,FMT_ANGLE_LABEL
DS:0x57BE,FMT_ANGLE_VALUE
DS:0x57C2,FMT_WEAPON_NO_AMMO
DS:0x57C5,FMT_WEAPON_WITH_AMMO
DS:0x57E2,PLAYER_COLOR_TABLE
DS:0x5830,FLOAT32_100
DS:0x6022,PLAYER_IS_COMPUTER
DS:0x6040,STR_EMPTY_0
DS:0x6041,STR_EMPTY_1
DS:0x6042,STR_PLAYER_RANKINGS
DS:0x6052,STR_RANK_FMT
DS:0x6056,STR_SCORE_FMT
DS:0x613C,SELL_FACTOR
DS:0x6144,SELL_FACTOR_MKT
DS:0x616C,SHIELD_CONFIG_TABLE,data/table:10
DS:0x61CC,SHIELD_CONFIG_PTR_ARRAY
DS:0x61E4,SHIELD_COUNT
DS:0x621C,sky_name_ptrs,data/farptr
DS:0x6234,gfx_mode_table,data/table:16
DS:0x623E,aux_array_ptr
DS:0x6242,height_array_ptr
DS:0x6246,bitmap_array_ptr
DS:0x624A,scanned_mtn_flag
DS:0x624C,terrain_cached_flag
DS:0x624E,cached_terrain_type
DS:0x6258,SUNSET_C9
DS:0x625C,SUNSET_C10
DS:0x6260,SUNSET_C20
DS:0x6264,SUNSET_C63
DS:0x6268,SUNSET_C29
DS:0x626C,SUNSET_C31
DS:0x6294,wall_type_name_ptrs_bss
DS:0x62CC,scale_name_ptrs_bss
DS:0x62E4,PLAY_ORDER_NAMES
DS:0x633C,wind_min_f
DS:0x6348,wind_max_f
DS:0x637C,viscosity_div_f2
DS:0x6B66,submenu_item_table
DS:0x6DCA,submenu_item_count
DS:0x6E26,submenu_selected_idx
DS:0x6E28,FG_PAGES
DS:0x6E2A,sky_gradient_base_index
DS:0x6E42,dialog_mouse_flag
DS:0x6E64,GFX_MODE_FLAG
DS:0x6FE8,dialog_init_flag
DS:0x6FF0,dialog_pending_action
DS:0x6FF6,dialog_input_callback_ptr
DS:0x7030,widget_array_ptr
DS:0x7032,widget_count
DS:0x70E4,font_glyph_data
DS:0x9910,scancode_map_table,data/table:2
DS:0xC960,fg_key_available
DS:0xC961,fg_key_char
DS:0xCAB4,SHOP_PREV_SELECTED
DS:0xCAB6,SHOP_SELECTED_IDX
DS:0xCABC,SHOP_SCROLLBAR_NEEDED
DS:0xCABE,SHOP_ITEMS_PER_PAGE
DS:0xCAC0,SHOP_ITEM_COUNT
DS:0xCAC2,SHOP_SCROLL_OFFSET
DS:0xCAC4,SHOP_LAST_VISIBLE
DS:0xCC7E,CASH_LABEL_X
DS:0xCC80,CASH_BAR_X
DS:0xCC82,INTEREST_LABEL_X
DS:0xCC84,INTEREST_BAR_X
DS:0xCC8E,attack_talk_struct
DS:0xCC94,die_talk_struct
DS:0xCE96,sim_current_player_idx
DS:0xCE9A,sim_warhead_count
DS:0xCE9C,gravity_step
DS:0xCEA4,wind_step
DS:0xCEAC,dt
DS:0xCEB8,player_struct_base
DS:0xD08E,dialog_control_iter
DS:0xD0AC,dialog_focus_index
DS:0xD0AE,old_int9_off
DS:0xD0B0,old_int9_seg
DS:0xD0B2,modifier_flags
DS:0xD0B4,input_callback_ptr_off
DS:0xD0B6,input_callback_ptr_seg
DS:0xD0B8,last_scancode
DS:0xD1BE,key_state_array
DS:0xD4E0,WIND_DISPLAY_X
DS:0xD4E2,WIND_DISPLAY_Y
DS:0xD546,WPN_SMOKE_TRACER_IDX
DS:0xD548,HUD_NO_SHIELD_SENTINEL
DS:0xD54A,WPN_HEAT_GUIDANCE_IDX
DS:0xD54C,WPN_BAL_GUIDANCE_IDX
DS:0xD54E,WPN_HORZ_GUIDANCE_IDX
DS:0xD550,WPN_VERT_GUIDANCE_IDX
DS:0xD552,WPN_LAZY_BOY_IDX
DS:0xD554,HUD_PARACHUTE_IDX
DS:0xD556,HUD_BATTERY_IDX
DS:0xD558,WPN_MAG_DEFLECTOR_IDX
DS:0xD55A,WPN_SHIELD_IDX
DS:0xD55C,WPN_FORCE_SHIELD_IDX
DS:0xD55E,WPN_HEAVY_SHIELD_IDX
DS:0xD560,WPN_SUPER_MAG_IDX
DS:0xD562,WPN_AUTO_DEFENSE_IDX
DS:0xD564,WPN_FUEL_TANK_IDX
DS:0xD566,WPN_CONTACT_TRIGGER_IDX
DS:0xD568,tank_struct_base
DS:0xDD5E,player_palette_rgb_table
DS:0xDEA8,sky_ceiling_rgb_table
DS:0xE05E,SPRINTF_BUF
DS:0xE05E,sprintf_buffer
DS:0xE15E,SPRINTF_BUF2
DS:0xE340,ROUND_NUMBER
DS:0xE342,SHOP_VIEWER_IDX
DS:0xE344,hud_weapon_icon_idx
DS:0xE346,barrel_start_x
DS:0xE348,barrel_start_y
DS:0xE4F0,WPN_FIRST_ACCESSORY
DS:0xE4F2,WPN_ACCESSORY_COUNT
DS:0xE4F4,TURN_START_INDEX
DS:0xE4F6,TURN_ORDER_ARRAY
DS:0xE702,NAPALM_COLOR
DS:0xE9B2,NAPALM_POOL_AVAIL
DS:0xE9B4,NAPALM_POOL_INDEX
DS:0xE9B8,NAPALM_SPAWN_COUNT
DS:0xE9BA,NAPALM_LIST_HEAD
DS:0xEC6E,SELL_QUANTITY
DS:0xEC70,SELL_ACCEPTED
DS:0xEC72,SELL_QTY_WIDGET
DS:0xEC74,SELL_NAME_WIDGET
DS:0xEC76,SELL_WEAPON_IDX
DS:0xEC7C,SHIELD_TANK_BBOX_PTR
DS:0xEC80,SHIELD_PIXEL_VALUE
DS:0xEC82,SHIELD_TANK_Y
DS:0xEC84,SHIELD_PIXEL_MATCH
DS:0xEC86,SHIELD_REPLACE_VALUE
DS:0xEC88,SHIELD_FLICKER_TOGGLE
DS:0xECB8,screen_height
DS:0xECBA,bitmap_col_bytes
DS:0xECBE,depth_divisor
DS:0xECC0,SHIELD_ANIM_X_MIN
DS:0xECC2,SHIELD_ANIM_Y_MIN
DS:0xECC4,SHIELD_ANIM_X_MAX
DS:0xECC6,SHIELD_ANIM_Y_MAX
DS:0xECD8,attack_filename
DS:0xED18,die_filename
DS:0xED58,layout_mode
DS:0xEE48,SHIELD_PALETTE_ENTRY
DS:0xEE70,timer_callback_off
DS:0xEE72,timer_callback_seg
DS:0xEE74,timer_countdown
DS:0xEE76,timer_reload
DS:0xEE78,timer_tick_count
DS:0xEEF4,fg_ptr_point
DS:0xEEF8,fg_ptr_getpixel
DS:0xEEFC,fg_ptr_setdacs
DS:0xEF00,fg_ptr_getdacs
DS:0xEF04,fg_ptr_drect
DS:0xEF08,fg_ptr_setcolor_rgb
DS:0xEF0C,fg_ptr_hline
DS:0xEF10,fg_ptr_vline
DS:0xEF14,fg_ptr_rect
DS:0xEF20,hud_color_EF20,data/table:2
DS:0xEF22,hud_text_color
DS:0xEF24,hud_dim_color
